,STLA,STLA,STLA,STLA
asOfDate,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,EUR,EUR,EUR,EUR
PayablesAndAccruedExpenses,26484000000.0,24432000000.0,39452000000.0,43110000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,544000000.0,592000000.0,684000000.0,545000000.0
PrepaidAssets,524000000.0,457000000.0,746000000.0,1303000000.0
Properties,0.0,0.0,0.0,0.0
Receivables,7000000000.0,5634000000.0,8323000000.0,11599000000.0
RestrictedCash,0.0,0.0,2000000.0,1000000.0
RetainedEarnings,,,52776000000.0,66783000000.0
ShareIssued,1567519274.0,1574714499.0,3132618655.0,3201744199.0
StockholdersEquity,28537000000.0,25737000000.0,55907000000.0,71999000000.0
TangibleBookValue,1833000000.0,163000000.0,9351000000.0,21255000000.0
TaxesReceivable,372000000.0,89000000.0,285000000.0,543000000.0
TotalAssets,98044000000.0,99730000000.0,171766000000.0,186156000000.0
TotalCapitalization,35282000000.0,41435000000.0,76476000000.0,89843000000.0
TotalDebt,12901000000.0,21117000000.0,33582000000.0,27153000000.0
TotalEquityGrossMinorityInterest,28675000000.0,25861000000.0,56307000000.0,72382000000.0
TotalLiabilitiesNetMinorityInterest,69369000000.0,73869000000.0,115459000000.0,113774000000.0
TotalNonCurrentAssets,63112000000.0,59677000000.0,96971000000.0,101380000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,34993000000.0,42087000000.0,50602000000.0,46949000000.0
TotalTaxPayable,623000000.0,929000000.0,2171000000.0,2463000000.0
TradeandOtherPayablesNonCurrent,311000000.0,347000000.0,5453000000.0,5642000000.0
TreasurySharesNumber,,,,69125544.0
TreasuryStock,,,,923000000.0
UnrealizedGainLoss,-470000000.0,-580000000.0,-91000000.0,-103000000.0
WorkInProcess,3928000000.0,3912000000.0,6019000000.0,8781000000.0
WorkingCapital,556000000.0,8271000000.0,9938000000.0,17951000000.0
