,TM,TM,TM,TM
asOfDate,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00
periodType,12M,12M,12M,12M
currencyCode,JPY,JPY,JPY,JPY
TotalDebt,20150179000000.0,20552969000000.0,25659634000000.0,26496357000000.0
TotalEquityGrossMinorityInterest,20067137000000.0,20737682000000.0,24288329000000.0,27154820000000.0
TotalLiabilitiesNetMinorityInterest,31869812000000.0,31942754000000.0,37978811000000.0,40533951000000.0
TotalNonCurrentAssets,33057712000000.0,34037905000000.0,39490338000000.0,43966480000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,13642874000000.0,14040377000000.0,16518345000000.0,18691790000000.0
TotalTaxPayable,320998000000.0,218117000000.0,350880000000.0,826815000000.0
TreasurySharesNumber,2152791625.0,2484224800.0,2335244160.0,2536685916.0
TreasuryStock,2606925000000.0,3087106000000.0,2901680000000.0,3306037000000.0
WorkInProcess,324921000000.0,315139000000.0,644779000000.0,547810000000.0
WorkingCapital,652299000000.0,740154000000.0,1316334000000.0,1880129000000.0
