,symbol,date,open,high,low,close,volume,adjclose
0,AACI,2021-11-10,9.770000457763672,9.779999732971191,9.75,9.75,373300,9.75
1,AACI,2021-11-11,9.760000228881836,9.819999694824219,9.75,9.779999732971191,24400,9.779999732971191
2,AACI,2021-11-12,9.779999732971191,9.800000190734863,9.720000267028809,9.75,943300,9.75
3,AACI,2021-11-15,9.779999732971191,9.789999961853027,9.729999542236328,9.789999961853027,13600,9.789999961853027
4,AACI,2021-11-16,9.75,9.779999732971191,9.729999542236328,9.75,190800,9.75
5,AACI,2021-11-17,9.729999542236328,9.789999961853027,9.729999542236328,9.78499984741211,7100,9.78499984741211
6,AACI,2021-11-18,9.779999732971191,9.800000190734863,9.75,9.800000190734863,94900,9.800000190734863
7,AACI,2021-11-19,9.789999961853027,9.817999839782715,9.789999961853027,9.800000190734863,82400,9.800000190734863
8,AACI,2021-11-22,9.840999603271484,9.859000205993652,9.800000190734863,9.800000190734863,12200,9.800000190734863
9,AACI,2021-11-23,9.800000190734863,9.805000305175781,9.789999961853027,9.800000190734863,16600,9.800000190734863
10,AACI,2021-11-24,9.789999961853027,9.789999961853027,9.789999961853027,9.789999961853027,900,9.789999961853027
11,AACI,2021-11-26,9.34000015258789,9.34000015258789,9.34000015258789,9.34000015258789,200,9.34000015258789
12,AACI,2021-11-29,9.890000343322754,9.890000343322754,9.779999732971191,9.78499984741211,1400,9.78499984741211
13,AACI,2021-11-30,9.78499984741211,9.78499984741211,9.78499984741211,9.78499984741211,0,9.78499984741211
14,AACI,2021-12-01,9.880000114440918,9.880000114440918,9.779999732971191,9.779999732971191,101600,9.779999732971191
15,AACI,2021-12-02,9.779999732971191,9.789999961853027,9.760000228881836,9.774999618530273,43500,9.774999618530273
16,AACI,2021-12-03,9.770000457763672,9.779999732971191,9.75,9.779999732971191,6400,9.779999732971191
17,AACI,2021-12-06,9.770000457763672,9.789999961853027,9.770000457763672,9.770000457763672,17300,9.770000457763672
18,AACI,2021-12-07,9.779999732971191,9.789999961853027,9.765000343322754,9.770000457763672,71000,9.770000457763672
19,AACI,2021-12-08,9.770000457763672,9.770000457763672,9.770000457763672,9.770000457763672,0,9.770000457763672
20,AACI,2021-12-09,9.770000457763672,9.770000457763672,9.75,9.760000228881836,10500,9.760000228881836
21,AACI,2021-12-10,9.75,9.779999732971191,9.75,9.760000228881836,29200,9.760000228881836
22,AACI,2021-12-13,9.75,9.75,9.75,9.75,300,9.75
23,AACI,2021-12-14,9.75,9.75,9.75,9.75,2100,9.75
24,AACI,2021-12-15,9.739999771118164,9.75,9.739999771118164,9.75,4600,9.75
25,AACI,2021-12-16,9.75,9.75,9.75,9.75,6000,9.75
26,AACI,2021-12-17,9.800000190734863,9.824999809265137,9.75,9.779999732971191,26600,9.779999732971191
27,AACI,2021-12-20,9.779999732971191,9.802000045776367,9.770000457763672,9.800000190734863,267500,9.800000190734863
28,AACI,2021-12-21,9.795000076293945,9.8149995803833,9.795000076293945,9.8149995803833,149200,9.8149995803833
29,AACI,2021-12-22,9.819999694824219,9.84000015258789,9.800000190734863,9.829999923706055,51100,9.829999923706055
30,AACI,2021-12-23,9.819999694824219,9.819999694824219,9.800000190734863,9.800000190734863,6500,9.800000190734863
31,AACI,2021-12-27,9.84000015258789,9.850000381469727,9.800000190734863,9.800000190734863,8400,9.800000190734863
32,AACI,2021-12-28,9.800000190734863,9.890000343322754,9.800000190734863,9.800000190734863,15700,9.800000190734863
33,AACI,2021-12-29,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,9000,9.800000190734863
34,AACI,2021-12-30,9.8100004196167,9.819999694824219,9.800000190734863,9.815999984741211,6700,9.815999984741211
35,AACI,2021-12-31,9.800000190734863,9.800000190734863,9.789999961853027,9.789999961853027,8900,9.789999961853027
36,AACI,2022-01-03,9.8100004196167,9.90999984741211,9.8100004196167,9.90999984741211,112300,9.90999984741211
37,AACI,2022-01-04,9.869999885559082,9.899999618530273,9.864999771118164,9.899999618530273,1800,9.899999618530273
38,AACI,2022-01-05,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,0,9.899999618530273
39,AACI,2022-01-06,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,447900,9.800000190734863
40,AACI,2022-01-07,9.890000343322754,9.890000343322754,9.810999870300293,9.869999885559082,1000,9.869999885559082
41,AACI,2022-01-10,9.84000015258789,9.890000343322754,9.84000015258789,9.880000114440918,8300,9.880000114440918
42,AACI,2022-01-11,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,800,9.850000381469727
43,AACI,2022-01-12,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,9.850000381469727
44,AACI,2022-01-13,9.850000381469727,9.859999656677246,9.850000381469727,9.859999656677246,37600,9.859999656677246
45,AACI,2022-01-14,9.850000381469727,9.854999542236328,9.850000381469727,9.850000381469727,1500,9.850000381469727
46,AACI,2022-01-18,9.86400032043457,9.86400032043457,9.84000015258789,9.850000381469727,18000,9.850000381469727
47,AACI,2022-01-19,9.855999946594238,9.855999946594238,9.84000015258789,9.850000381469727,21800,9.850000381469727
48,AACI,2022-01-20,9.84000015258789,9.84000015258789,9.84000015258789,9.84000015258789,100,9.84000015258789
